Formula,pbe_band_gap,url
Ga2Se2, 1.87 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418c66
Br2N2Sn2, 1.86 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ec1
Cd1I2, 1.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b81
I2Mn1, 1.86 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418cb7
Cl2In2S2, 1.85 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f31
Mn1O2, 1.85 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418d2b
Pt1S2, 1.85 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418dc7
Cl2N2Zr2, 1.84 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f4e
Cl4Tl2, 1.84 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f8e
Al2Te2, 1.84 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a22
Br6Sr1Th1, 1.84 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f05
Cl2Ge2N2, 1.84 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f23
Cl2Sc2Se2, 1.84 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f79
Br6Cr2, 1.83 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418acd
Br2N2Zr2, 1.82 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418ec7
Pb1Se1, 1.81 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418db6
Bi2I2Se2, 1.81 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e83
Br2H4Tb2, 1.77 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418a8e
Br4O2, 1.77 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418efd
Bi2Cl2S2, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418e7d
Cl2Cr2O2, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476358d5cc1b8bc6418f11
Cd1S1, 1.76 eV ,http://www.mathub2d.net//materials/detail/5f476357d5cc1b8bc6418b82
