Formula,hse,PBE/$σ_{max}^{GSv}$,(PBE+$σ_{min}^{EN}$)-($σ_{max}^{RCORE}$-PBE),$PBE^{5/6}$,PBE*$σ_{max}^{RCOV}$/($σ_{max}^{GSv}$+$σ_{max}^{RCOV}$)
Br2H4Tb2,2.4539470000000003,1.9293205169999998,3.5541669999999996,1.6093273369999999,1.521152957
Br4O2,3.117946,1.9104952530000001,3.7,1.6093273369999999,1.4209258809999998
Cl2Cr2O2,3.364559,1.9578107169999999,3.6044449999999997,1.601746892,1.496292
Br6Tl2,2.678972,1.864477612,3.2575,1.601746892,1.4128980469999999
Pt4S6Tl2,2.380464,1.865562704,3.3433330000000003,1.601746892,1.412985832
S2W1,2.5894150000000002,1.888313304,3.5066660000000005,1.601746892,1.412985821
P2Si2,2.542348,1.9194666390000001,3.5925,1.601746892,1.462601272
Al2I2S2,2.589013,1.853424763,3.514444,1.601746892,1.344065055
Ge1Te1,2.454069,1.864040654,3.3975,1.601746892,1.40585386
Bi2Cl2S2,2.57246,1.898164865,3.382222,1.601746892,1.439513684
N2Si2,2.801607,1.950264188,3.765,1.586564406,1.4694157030000001
S2Sn1,2.517988,1.860107647,3.4,1.586564406,1.3969291640000001
Bi1Cl1Te1,2.345725,1.861461324,3.2888889999999997,1.586564406,1.4090353580000001
As2S6Sn1Tl2,2.5043279999999997,1.799995569,2.992727,1.57896227,1.388900838
Ga2Se2,2.565473,1.8755015430000002,3.25,1.57896227,1.4268523530000001
In2S2,2.5594799999999998,1.865407311,2.98,1.5713528069999998,1.45565618
Cl2Ni1,2.657432,1.8644596709999999,3.545,1.5713528069999998,1.386904874
Br2Hg1,2.664669,1.824850748,3.34,1.563735967,1.372758902
O2Zr1,3.159884,2.000862169,3.755,1.5561116990000001,1.50104694
Ni1O2,2.9726169999999996,2.097883031,3.831667,1.5484799530000002,1.485120831
Cl2Rh2Te2,2.291888,1.80146134,3.297778,1.540840676,1.349601155
Bi2I2S2,2.3130189999999997,1.763953313,3.146667,1.533193817,1.293929801
Ge1Te1,2.349707,1.7581292530000001,3.1975,1.525539323,1.3259758
O1Pb1,2.708543,1.81934365,3.1925,1.517877139,1.3836080640000001
Bi2Br2S2,2.344596,1.7654264069999999,3.12,1.5102072119999999,1.3413650240000001
Br2N2Zr2,2.752581,1.7759248419999998,3.261111,1.5102072119999999,1.403560242
Cl6Tl2,2.756063,1.763849372,3.2425,1.5102072119999999,1.322397676
Ag1In1P2S6,2.4908650000000003,1.702458777,2.72925,1.5102072119999999,1.316645879
In2S2,2.4726790000000003,1.77864418,2.82,1.5102072119999999,1.387951241
Mo1S2,2.338151,1.734965462,3.193333,1.494843907,1.300589222
Br2Ga2S2,2.567375,1.743802628,3.17,1.487150415,1.2966728220000001
Br6Ga2,2.644381,1.6648852330000001,2.90125,1.45629618,1.26036928
I6Rh2,2.296003,1.6324131119999998,2.6975,1.45629618,1.1989671179999999
Cl4I4Ta2,2.268506,1.628914332,3.056,1.440820067,1.183693652
Pb1Te1,2.1953549999999997,1.648760665,2.6575,1.440820067,1.251913178
Bi1I1Te1,2.112308,1.6314366740000001,2.853333,1.440820067,1.2009528090000001
Ga2I6,2.425584,1.577657406,2.53875,1.417543266,1.160783452
P2Si2,2.2499540000000002,1.646815128,3.0925,1.409767376,1.254845409
Al2I2Se2,2.29031,1.589803195,3.011111,1.409767376,1.1531467229999999
Mo1S1Se1,2.007323,1.6515625,2.913333,1.409767376,1.2924633159999999
Cl6Mn2,2.874908,1.612562506,2.95375,1.4019828980000002,1.209510069
Se2W1,1.993279,1.59720869,2.8233330000000003,1.394189766,1.225328947
O2Ti1,2.587488,1.834475481,3.37,1.394189766,1.3377476000000001
O1Sn1,2.351906,1.610865255,2.83,1.394189766,1.202135996
Al2Br2Se2,2.354818,1.6099547509999999,3.071111,1.394189766,1.198099405
Br2Ge2N2,2.609648,1.614043415,3.083333,1.386387911,1.1881188040000001
I6Ti2,2.287719,1.5345918090000001,2.425,1.386387911,1.130236519
Cl9Mo2Rb3,1.8037159999999999,1.51254601,2.5171419999999998,1.3629293230000001,1.118414003
Br6Re2,1.993543,1.527761194,2.6525,1.355091882,1.156007493
Br2S2Sb2,2.1161830000000004,1.555437217,2.956666,1.355091882,1.173545965
Br2Cr2O2,2.825587,1.5603234430000001,2.922223,1.3472453640000002,1.179783942
Co1O2,2.7580270000000002,1.773953871,3.306667,1.3472453640000002,1.256640703
In2Se2,2.180748,1.549442515,2.3925,1.3472453640000002,1.209266317
H2Mn1O2,1.9338229999999998,1.7534906259999998,3.087333,1.339389696,1.255518097
Cl6Re2,2.019679,1.52994047,2.8375,1.339389696,1.145002866
Br4Nb2Se4,2.056295,1.521313845,2.841333,1.339389696,1.139951833
Al1Sb1,2.248395,1.491758555,2.585,1.331524803,1.149097092
Hg1I2,2.312622,1.459560618,2.4866669999999997,1.323650607,1.069142651
I2Zn1,2.2131819999999998,1.45671279,2.428334,1.323650607,1.069142651
P2Sn2,2.024928,1.476653147,2.3175,1.315767031,1.121455727
Mo1Se2,1.87565,1.487332176,2.59,1.315767031,1.143092105
Ge1O2,2.888377,1.646642106,3.228334,1.307873997,1.175187905
In2Te2,2.013236,1.4464541169999998,2.16,1.299971425,1.10056761
In2Se2,2.089341,1.462760417,2.2325,1.284137338,1.141615055
Ge2P2,2.084802,1.47323408,2.6,1.284137338,1.132827524
Br6Re2,1.478389,1.4216666669999998,2.4525,1.276205657,1.075729195
Cl6V2,1.533272,1.430529306,2.62375,1.268264104,1.072432262
O2W1,2.167451,1.667429984,3.186667,1.268264104,1.195605127
Ga2Ni1S4,1.984965,1.387611924,2.3090479999999998,1.260312594,1.059739368
Ge2N2,2.452819,1.45378396,2.7325,1.252351037,1.099262264
Br2V1,2.46348,1.3832343759999999,2.458333,1.2443793440000002,1.0436178790000001
